Period,value,MAGNTUDE,Group,Region,Industry
2008,1363.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2009,1500.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2010,1457.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2011,1549.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2012,1656.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2013,1583.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2014,1687.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2015,1613.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2016,1507.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2017,1588.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2018,1784.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2019,1840.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2020,1885.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2021,1941.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2022,1958.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2023,2095.0,6,"Gross domestic product, by region and industry",West Coast,Gross Domestic Product
2000,731.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2001,984.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2002,1079.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2003,889.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2004,903.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2005,933.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2006,797.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2007,934.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2008,1439.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2009,1190.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2010,1585.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2011,1865.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2012,1939.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2013,1698.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2014,2510.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2015,1495.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2016,1366.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2017,2090.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2018,2423.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2019,2426.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2020,2718.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2021,2878.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2022,3262.0,6,"Gross domestic product, by region and industry",Canterbury,Agriculture
2000,189.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2001,214.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2002,238.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2003,251.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2004,247.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2005,259.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2006,307.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2007,356.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2008,336.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2009,377.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2010,367.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2011,388.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2012,448.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2013,395.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2014,395.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2015,470.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2016,474.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2017,502.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2018,588.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2019,636.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2020,671.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2021,614.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2022,657.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, and Mining"
2000,555.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2001,516.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2002,510.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2003,572.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2004,637.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2005,699.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2006,793.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2007,941.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2008,924.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2009,1090.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2010,1101.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2011,1176.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2012,1157.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2013,1234.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2014,1360.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2015,1504.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2016,1497.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2017,1545.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2018,1647.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2019,1857.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2020,2011.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2021,1818.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2022,2120.0,6,"Gross domestic product, by region and industry",Canterbury,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2000,1187.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2001,1218.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2002,1228.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2003,1403.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2004,1441.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2005,1608.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2006,1725.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2007,1701.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2008,1678.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2009,1919.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2010,1695.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2011,1787.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2012,1883.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2013,1875.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2014,1944.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2015,2283.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2016,2619.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2017,2229.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2018,2525.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2019,2518.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2020,2722.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2021,2585.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2022,2477.0,6,"Gross domestic product, by region and industry",Canterbury,Primary Manufacturing
2000,1004.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2001,1003.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2002,1121.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2003,1168.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2004,1216.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2005,1255.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2006,1259.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2007,1238.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2008,1281.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2009,1266.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2010,1340.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2011,1368.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2012,1367.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2013,1369.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2014,1324.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2015,1437.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2016,1484.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2017,1526.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2018,1563.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2019,1586.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2020,1648.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2021,1597.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2022,1630.0,6,"Gross domestic product, by region and industry",Canterbury,Other Manufacturing
2000,2190.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2001,2221.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2002,2349.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2003,2571.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2004,2658.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2005,2863.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2006,2984.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2007,2939.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2008,2959.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2009,3186.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2010,3035.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2011,3155.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2012,3250.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2013,3244.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2014,3268.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2015,3720.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2016,4103.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2017,3754.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2018,4088.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2019,4104.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2020,4370.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2021,4182.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2022,4107.0,6,"Gross domestic product, by region and industry",Canterbury,Manufacturing
2000,366.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2001,302.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2002,272.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2003,320.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2004,390.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2005,440.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2006,486.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2007,584.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2008,589.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2009,713.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2010,734.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2011,788.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2012,709.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2013,839.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2014,965.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2015,1035.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2016,1023.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2017,1042.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2018,1060.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2019,1220.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2020,1340.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2021,1205.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2022,1463.0,6,"Gross domestic product, by region and industry",Canterbury,"Electricity, Gas, Water, and Waste services"
2000,616.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2001,644.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2002,713.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2003,795.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2004,918.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2005,1148.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2006,1176.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2007,1283.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2008,1475.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2009,1418.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2010,1394.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2011,1467.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2012,1835.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2013,2300.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2014,2727.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2015,3158.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2016,3303.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2017,3123.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2018,3296.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2019,3322.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2020,3482.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2021,3492.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2022,3676.0,6,"Gross domestic product, by region and industry",Canterbury,Construction
2000,673.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2001,693.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2002,782.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2003,817.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2004,866.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2005,908.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2006,912.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2007,961.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2008,1034.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2009,1153.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2010,1194.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2011,1167.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2012,1207.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2013,1167.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2014,1319.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2015,1450.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2016,1541.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2017,1521.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2018,1653.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2019,1748.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2020,1766.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2021,1811.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2022,2186.0,6,"Gross domestic product, by region and industry",Canterbury,Wholesale Trade
2000,640.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2001,675.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2002,770.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2003,868.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2004,916.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2005,958.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2006,1004.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2007,1061.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2008,1107.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2009,1060.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2010,1055.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2011,1102.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2012,1191.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2013,1296.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2014,1441.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2015,1491.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2016,1525.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2017,1626.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2018,1704.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2019,1753.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2020,1793.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2021,1927.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2022,2112.0,6,"Gross domestic product, by region and industry",Canterbury,Retail Trade
2000,107.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2001,126.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2002,138.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2003,129.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2004,147.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2005,163.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2006,154.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2007,181.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2008,172.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2009,210.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2010,203.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2011,202.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2012,199.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2013,191.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2014,172.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2015,183.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2016,235.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2017,269.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2018,278.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2019,310.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2020,314.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2021,230.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2022,272.0,6,"Gross domestic product, by region and industry",Canterbury,Accommodation
2000,212.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2001,235.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2002,253.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2003,247.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2004,278.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2005,303.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2006,309.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2007,286.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2008,319.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2009,306.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2010,341.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2011,338.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2012,341.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2013,373.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2014,391.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2015,438.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2016,465.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2017,491.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2018,523.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2019,552.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2020,578.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2021,483.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2022,584.0,6,"Gross domestic product, by region and industry",Canterbury,Food and beverage services
2000,710.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2001,724.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2002,756.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2003,830.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2004,885.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2005,992.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2006,1053.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2007,1014.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2008,1152.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2009,1055.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2010,1032.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2011,1178.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2012,1233.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2013,1329.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2014,1397.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2015,1610.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2016,1746.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2017,1649.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2018,1730.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2019,1848.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2020,1863.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2021,1494.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2022,1578.0,6,"Gross domestic product, by region and industry",Canterbury,"Transport, Postal and Warehousing"
2000,937.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2001,966.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2002,1029.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2003,1120.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2004,1186.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2005,1189.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2006,1268.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2007,1413.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2008,1484.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2009,1402.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2010,1342.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2011,1321.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
2012,1323.0,6,"Gross domestic product, by region and industry",Canterbury,"Information Media, Telecommunications and Other Services"
